,Estacion,Year,Mes,Valor_prom
240,COMODA LA [24010110],1990,1,
241,COMODA LA [24010110],1990,2,
242,COMODA LA [24010110],1990,3,
243,COMODA LA [24010110],1990,4,
244,COMODA LA [24010110],1990,5,
245,COMODA LA [24010110],1990,6,
246,COMODA LA [24010110],1990,7,
247,COMODA LA [24010110],1990,8,
248,COMODA LA [24010110],1990,9,
249,COMODA LA [24010110],1990,10,
250,COMODA LA [24010110],1990,11,
251,COMODA LA [24010110],1990,12,
252,COMODA LA [24010110],1991,1,
253,COMODA LA [24010110],1991,2,
254,COMODA LA [24010110],1991,3,
255,COMODA LA [24010110],1991,4,
256,COMODA LA [24010110],1991,5,
257,COMODA LA [24010110],1991,6,
258,COMODA LA [24010110],1991,7,
259,COMODA LA [24010110],1991,8,
260,COMODA LA [24010110],1991,9,
261,COMODA LA [24010110],1991,10,
262,COMODA LA [24010110],1991,11,
263,COMODA LA [24010110],1991,12,
264,COMODA LA [24010110],1992,1,
265,COMODA LA [24010110],1992,2,
266,COMODA LA [24010110],1992,3,
267,COMODA LA [24010110],1992,4,
268,COMODA LA [24010110],1992,5,
269,COMODA LA [24010110],1992,6,
270,COMODA LA [24010110],1992,7,
271,COMODA LA [24010110],1992,8,
272,COMODA LA [24010110],1992,9,
273,COMODA LA [24010110],1992,10,
274,COMODA LA [24010110],1992,11,
275,COMODA LA [24010110],1992,12,
276,COMODA LA [24010110],1993,1,
277,COMODA LA [24010110],1993,2,
278,COMODA LA [24010110],1993,3,
279,COMODA LA [24010110],1993,4,
280,COMODA LA [24010110],1993,5,
281,COMODA LA [24010110],1993,6,
282,COMODA LA [24010110],1993,7,
283,COMODA LA [24010110],1993,8,
284,COMODA LA [24010110],1993,9,
285,COMODA LA [24010110],1993,10,
286,COMODA LA [24010110],1993,11,
287,COMODA LA [24010110],1993,12,
288,COMODA LA [24010110],1994,1,
289,COMODA LA [24010110],1994,2,
290,COMODA LA [24010110],1994,3,
291,COMODA LA [24010110],1994,4,
292,COMODA LA [24010110],1994,5,
293,COMODA LA [24010110],1994,6,
294,COMODA LA [24010110],1994,7,
295,COMODA LA [24010110],1994,8,
296,COMODA LA [24010110],1994,9,
297,COMODA LA [24010110],1994,10,
298,COMODA LA [24010110],1994,11,
299,COMODA LA [24010110],1994,12,
300,COMODA LA [24010110],1995,1,
301,COMODA LA [24010110],1995,2,
302,COMODA LA [24010110],1995,3,
303,COMODA LA [24010110],1995,4,
304,COMODA LA [24010110],1995,5,
305,COMODA LA [24010110],1995,6,
306,COMODA LA [24010110],1995,7,
307,COMODA LA [24010110],1995,8,
308,COMODA LA [24010110],1995,9,
309,COMODA LA [24010110],1995,10,
310,COMODA LA [24010110],1995,11,
311,COMODA LA [24010110],1995,12,
312,COMODA LA [24010110],1996,1,
313,COMODA LA [24010110],1996,2,
314,COMODA LA [24010110],1996,3,
315,COMODA LA [24010110],1996,4,
316,COMODA LA [24010110],1996,5,
317,COMODA LA [24010110],1996,6,
318,COMODA LA [24010110],1996,7,
319,COMODA LA [24010110],1996,8,
320,COMODA LA [24010110],1996,9,
321,COMODA LA [24010110],1996,10,
322,COMODA LA [24010110],1996,11,
323,COMODA LA [24010110],1996,12,
324,COMODA LA [24010110],1997,1,
325,COMODA LA [24010110],1997,2,
326,COMODA LA [24010110],1997,3,
327,COMODA LA [24010110],1997,4,
328,COMODA LA [24010110],1997,5,
329,COMODA LA [24010110],1997,6,
330,COMODA LA [24010110],1997,7,
331,COMODA LA [24010110],1997,8,
332,COMODA LA [24010110],1997,9,
333,COMODA LA [24010110],1997,10,
334,COMODA LA [24010110],1997,11,
335,COMODA LA [24010110],1997,12,
336,COMODA LA [24010110],1998,1,
337,COMODA LA [24010110],1998,2,
338,COMODA LA [24010110],1998,3,
339,COMODA LA [24010110],1998,4,
340,COMODA LA [24010110],1998,5,
341,COMODA LA [24010110],1998,6,
342,COMODA LA [24010110],1998,7,
343,COMODA LA [24010110],1998,8,
344,COMODA LA [24010110],1998,9,
345,COMODA LA [24010110],1998,10,
346,COMODA LA [24010110],1998,11,
347,COMODA LA [24010110],1998,12,
348,COMODA LA [24010110],1999,1,
349,COMODA LA [24010110],1999,2,
350,COMODA LA [24010110],1999,3,
351,COMODA LA [24010110],1999,4,
352,COMODA LA [24010110],1999,5,
353,COMODA LA [24010110],1999,6,
354,COMODA LA [24010110],1999,7,
355,COMODA LA [24010110],1999,8,
356,COMODA LA [24010110],1999,9,
357,COMODA LA [24010110],1999,10,
358,COMODA LA [24010110],1999,11,
359,COMODA LA [24010110],1999,12,
360,COMODA LA [24010110],2000,1,
361,COMODA LA [24010110],2000,2,
362,COMODA LA [24010110],2000,3,
363,COMODA LA [24010110],2000,4,
364,COMODA LA [24010110],2000,5,
365,COMODA LA [24010110],2000,6,
366,COMODA LA [24010110],2000,7,
367,COMODA LA [24010110],2000,8,
368,COMODA LA [24010110],2000,9,
369,COMODA LA [24010110],2000,10,
370,COMODA LA [24010110],2000,11,
371,COMODA LA [24010110],2000,12,
372,COMODA LA [24010110],2001,1,
373,COMODA LA [24010110],2001,2,
374,COMODA LA [24010110],2001,3,
375,COMODA LA [24010110],2001,4,
376,COMODA LA [24010110],2001,5,
377,COMODA LA [24010110],2001,6,
378,COMODA LA [24010110],2001,7,
379,COMODA LA [24010110],2001,8,
380,COMODA LA [24010110],2001,9,
381,COMODA LA [24010110],2001,10,
382,COMODA LA [24010110],2001,11,
383,COMODA LA [24010110],2001,12,
384,COMODA LA [24010110],2002,1,
385,COMODA LA [24010110],2002,2,
386,COMODA LA [24010110],2002,3,
387,COMODA LA [24010110],2002,4,
388,COMODA LA [24010110],2002,5,
389,COMODA LA [24010110],2002,6,
390,COMODA LA [24010110],2002,7,
391,COMODA LA [24010110],2002,8,
392,COMODA LA [24010110],2002,9,
393,COMODA LA [24010110],2002,10,
394,COMODA LA [24010110],2002,11,
395,COMODA LA [24010110],2002,12,
396,COMODA LA [24010110],2003,1,
397,COMODA LA [24010110],2003,2,
398,COMODA LA [24010110],2003,3,
399,COMODA LA [24010110],2003,4,
400,COMODA LA [24010110],2003,5,
401,COMODA LA [24010110],2003,6,
402,COMODA LA [24010110],2003,7,
403,COMODA LA [24010110],2003,8,
404,COMODA LA [24010110],2003,9,
405,COMODA LA [24010110],2003,10,
406,COMODA LA [24010110],2003,11,
407,COMODA LA [24010110],2003,12,
408,COMODA LA [24010110],2004,1,
409,COMODA LA [24010110],2004,2,
410,COMODA LA [24010110],2004,3,
411,COMODA LA [24010110],2004,4,
412,COMODA LA [24010110],2004,5,
413,COMODA LA [24010110],2004,6,
414,COMODA LA [24010110],2004,7,
415,COMODA LA [24010110],2004,8,
416,COMODA LA [24010110],2004,9,
417,COMODA LA [24010110],2004,10,
418,COMODA LA [24010110],2004,11,
419,COMODA LA [24010110],2004,12,
420,COMODA LA [24010110],2005,1,
421,COMODA LA [24010110],2005,2,
